task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
112	62/0e075c	nf-620e075ccfa2fd3d5202bf5036979ec3-14f2a	calc_indices:arvi (14)	CACHED	0	2026-07-19 19:33:59.583	14.4s	4.5s	246.9%	446.7 MB	5.8 GB	64.7 MB	7 MB
115	bf/5fff6a	nf-bf5fff6ab79bf2ce9ec2387fea2c6158-b812e	calc_indices:savi (15)	CACHED	0	2026-07-19 19:34:24.572	11.4s	4.4s	252.2%	446.5 MB	5.8 GB	65.7 MB	6.9 MB
116	95/5878a6	nf-955878a6790ebb0eed63157a2c3253b0-e2a96	calc_indices:ndti (15)	CACHED	0	2026-07-19 19:34:19.649	14.4s	4.7s	242.8%	422.6 MB	5.8 GB	65.5 MB	6.7 MB
119	ee/c89260	nf-eec89260d53145e503a06748b3a32c1a-aa1ae	calc_indices:nbr (15)	CACHED	0	2026-07-19 19:34:24.439	15.6s	4.5s	246.0%	442.3 MB	5.8 GB	65.5 MB	6.7 MB
120	5d/afb418	nf-5dafb41846b6503e9af83dced9c287bd-f7e64	calc_indices:evi (15)	CACHED	0	2026-07-19 19:34:29.446	7.6s	4.6s	243.7%	440.8 MB	5.8 GB	65.9 MB	7.3 MB
121	f4/be4da4	nf-f4be4da48d552475a6babcac39599d20-74384	build_vrt_stack:build_vrt_stack_process (1)	COMPLETED	0	2026-07-19 19:48:13.304	6.7s	430ms	834.4%	3.5 MB	10.4 MB	2.7 MB	9 KB
123	66/16f434	nf-6616f434b3f6eaeb9b90a63b6af8754b-fbc4e	build_vrt_stack:build_vrt_stack_process (3)	COMPLETED	0	2026-07-19 19:48:13.362	4.6s	445ms	800.5%	3.3 MB	10.4 MB	2.7 MB	9 KB
125	ea/24cd99	nf-ea24cd99ad469b05551b583a106f9f1d-b303f	build_vrt_stack:build_vrt_stack_process (5)	COMPLETED	0	2026-07-19 19:48:13.445	7.6s	665ms	550.8%	3.4 MB	10.4 MB	2.7 MB	9 KB
127	bc/2cdf41	nf-bc2cdf41b7c258e30b6a34b6e451a11c-aa237	build_vrt_stack:build_vrt_stack_process (7)	COMPLETED	0	2026-07-19 19:48:13.485	3.5s	417ms	859.7%	3.4 MB	10.4 MB	2.7 MB	9 KB
129	c3/041d75	nf-c3041d75c41fd2a562f716f378440a9a-03d75	build_vrt_stack:build_vrt_stack_process (9)	COMPLETED	0	2026-07-19 19:48:13.557	7.4s	687ms	539.1%	3.4 MB	10.4 MB	2.7 MB	9 KB
122	9a/0dbbcc	nf-9a0dbbcc76eba975babfdd21a7edeb68-def41	build_vrt_stack:build_vrt_stack_process (2)	COMPLETED	0	2026-07-19 19:48:13.229	10.8s	425ms	849.1%	3.5 MB	10.4 MB	2.7 MB	9 KB
124	76/05d157	nf-7605d157d6b72e445df84ab3c5175e22-92bb8	build_vrt_stack:build_vrt_stack_process (4)	COMPLETED	0	2026-07-19 19:48:13.405	10.6s	412ms	874.2%	3.4 MB	10.4 MB	2.7 MB	9 KB
128	b8/3e01dc	nf-b83e01dc23c67ee857fe6ee712133b26-12e23	build_vrt_stack:build_vrt_stack_process (8)	COMPLETED	0	2026-07-19 19:48:22.657	7.3s	414ms	871.2%	3.3 MB	10.4 MB	2.7 MB	9 KB
131	29/06ee29	nf-2906ee29e72b4d56743703395ab7cffc-25520	build_vrt_stack:build_vrt_stack_process (11)	COMPLETED	0	2026-07-19 19:48:22.778	4.2s	454ms	801.6%	3.4 MB	10.4 MB	2.7 MB	9 KB
130	a6/124b4e	nf-a6124b4e21e2323b5e0ae8e41fc0d7bb-206d6	build_vrt_stack:build_vrt_stack_process (10)	COMPLETED	0	2026-07-19 19:48:22.961	5s	477ms	758.3%	3.3 MB	10.4 MB	2.7 MB	9 KB
132	29/6c9fd8	nf-296c9fd8b9f0becc2910fd8ebb150a5a-c3d66	build_vrt_stack:build_vrt_stack_process (12)	COMPLETED	0	2026-07-19 19:48:23.056	6.9s	431ms	839.7%	3.3 MB	10.4 MB	2.7 MB	9 KB
134	2a/61e3b7	nf-2a61e3b77bec168507438fb08adc7a9c-fe873	build_vrt_stack:build_vrt_stack_process (14)	COMPLETED	0	2026-07-19 19:48:27.584	7.4s	425ms	834.3%	3.4 MB	10.4 MB	2.7 MB	9 KB
135	db/7cc487	nf-db7cc4872b5ce01a4b3924e1e248d2cb-0c97f	build_vrt_stack:build_vrt_stack_process (15)	COMPLETED	0	2026-07-19 19:48:27.694	7.3s	437ms	830.2%	3.4 MB	10.4 MB	2.7 MB	9 KB
126	2f/073da2	nf-2f073da24a6e777fe301341fcf8ad533-64cb9	build_vrt_stack:build_vrt_stack_process (6)	COMPLETED	0	2026-07-19 19:48:13.514	2m 4s	422ms	838.5%	12 MB	30.5 MB	2.7 MB	9 KB
133	6b/334056	nf-6b334056341d1e40af46531f4fb64b6d-6275a	build_vrt_stack:build_vrt_stack_process (13)	COMPLETED	0	2026-07-19 19:48:23.184	1m 59s	325ms	1082.5%	12.2 MB	34.5 MB	2.7 MB	9 KB
